[22:31:38.022] Namespace(root_path='../data/ACDC/ACDC_training_slices', dataset='ACDC', list_dir='./lists/lists_ACDC', num_classes=4, max_iterations=30000, max_epochs=300, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, val_interval=0, is_pretrain=True, exp='TU_ACDC224')
[22:31:38.031] 54 iterations per epoch. 16200 max iterations 
[23:37:55.627] epoch 52/300  loss: 0.0266  loss_ce: 0.0107  lr: 0.008426  elapsed: 1.10h
[23:39:12.264] epoch 53/300  loss: 0.0259  loss_ce: 0.0105  lr: 0.008396  elapsed: 1.13h
[23:40:28.919] epoch 54/300  loss: 0.0260  loss_ce: 0.0105  lr: 0.008365  elapsed: 1.15h
[23:41:45.573] epoch 55/300  loss: 0.0259  loss_ce: 0.0104  lr: 0.008334  elapsed: 1.17h
[23:43:02.266] epoch 56/300  loss: 0.0266  loss_ce: 0.0107  lr: 0.008304  elapsed: 1.19h
[23:44:18.874] epoch 57/300  loss: 0.0263  loss_ce: 0.0106  lr: 0.008273  elapsed: 1.21h
[23:45:35.585] epoch 58/300  loss: 0.0254  loss_ce: 0.0102  lr: 0.008242  elapsed: 1.23h
[23:46:52.290] epoch 59/300  loss: 0.0257  loss_ce: 0.0103  lr: 0.008212  elapsed: 1.25h
[23:48:09.015] epoch 60/300  loss: 0.0262  loss_ce: 0.0106  lr: 0.008181  elapsed: 1.28h
[23:49:25.667] epoch 61/300  loss: 0.0261  loss_ce: 0.0105  lr: 0.008150  elapsed: 1.30h
[23:50:42.271] epoch 62/300  loss: 0.0250  loss_ce: 0.0100  lr: 0.008120  elapsed: 1.32h
[23:51:58.949] epoch 63/300  loss: 0.0249  loss_ce: 0.0100  lr: 0.008089  elapsed: 1.34h
[23:53:15.632] epoch 64/300  loss: 0.0251  loss_ce: 0.0101  lr: 0.008058  elapsed: 1.36h
[23:54:32.203] epoch 65/300  loss: 0.0251  loss_ce: 0.0101  lr: 0.008028  elapsed: 1.38h
[23:55:48.669] epoch 66/300  loss: 0.0246  loss_ce: 0.0098  lr: 0.007997  elapsed: 1.40h
[23:57:05.076] epoch 67/300  loss: 0.0242  loss_ce: 0.0097  lr: 0.007966  elapsed: 1.42h
[23:58:21.542] epoch 68/300  loss: 0.0247  loss_ce: 0.0099  lr: 0.007935  elapsed: 1.45h
[23:59:37.955] epoch 69/300  loss: 0.0240  loss_ce: 0.0096  lr: 0.007904  elapsed: 1.47h
[00:00:54.343] epoch 70/300  loss: 0.0239  loss_ce: 0.0096  lr: 0.007874  elapsed: 1.49h
[00:02:10.847] epoch 71/300  loss: 0.0240  loss_ce: 0.0096  lr: 0.007843  elapsed: 1.51h
[00:03:27.362] epoch 72/300  loss: 0.0238  loss_ce: 0.0095  lr: 0.007812  elapsed: 1.53h
[00:04:43.874] epoch 73/300  loss: 0.0239  loss_ce: 0.0095  lr: 0.007781  elapsed: 1.55h
[00:06:00.385] epoch 74/300  loss: 0.0233  loss_ce: 0.0094  lr: 0.007750  elapsed: 1.57h
[00:07:17.079] epoch 75/300  loss: 0.0232  loss_ce: 0.0093  lr: 0.007719  elapsed: 1.59h
[00:08:33.711] epoch 76/300  loss: 0.0233  loss_ce: 0.0093  lr: 0.007689  elapsed: 1.62h
[00:09:50.245] epoch 77/300  loss: 0.0233  loss_ce: 0.0093  lr: 0.007658  elapsed: 1.64h
[00:11:06.797] epoch 78/300  loss: 0.0231  loss_ce: 0.0092  lr: 0.007627  elapsed: 1.66h
[00:12:23.282] epoch 79/300  loss: 0.0237  loss_ce: 0.0095  lr: 0.007596  elapsed: 1.68h
[00:13:39.750] epoch 80/300  loss: 0.0232  loss_ce: 0.0093  lr: 0.007565  elapsed: 1.70h
[00:14:56.181] epoch 81/300  loss: 0.0235  loss_ce: 0.0093  lr: 0.007534  elapsed: 1.72h
[00:16:12.670] epoch 82/300  loss: 0.0236  loss_ce: 0.0094  lr: 0.007503  elapsed: 1.74h
[00:17:29.231] epoch 83/300  loss: 0.0234  loss_ce: 0.0094  lr: 0.007472  elapsed: 1.76h
[00:18:45.792] epoch 84/300  loss: 0.0235  loss_ce: 0.0093  lr: 0.007441  elapsed: 1.79h
[00:20:02.264] epoch 85/300  loss: 0.0231  loss_ce: 0.0091  lr: 0.007410  elapsed: 1.81h
[00:21:18.752] epoch 86/300  loss: 0.0228  loss_ce: 0.0091  lr: 0.007379  elapsed: 1.83h
[00:22:35.208] epoch 87/300  loss: 0.0230  loss_ce: 0.0092  lr: 0.007348  elapsed: 1.85h
[00:23:51.770] epoch 88/300  loss: 0.0244  loss_ce: 0.0098  lr: 0.007317  elapsed: 1.87h
[00:25:08.335] epoch 89/300  loss: 0.0232  loss_ce: 0.0093  lr: 0.007286  elapsed: 1.89h
[00:26:24.890] epoch 90/300  loss: 0.0229  loss_ce: 0.0091  lr: 0.007255  elapsed: 1.91h
[00:27:41.371] epoch 91/300  loss: 0.0223  loss_ce: 0.0089  lr: 0.007224  elapsed: 1.93h
[00:28:57.825] epoch 92/300  loss: 0.0224  loss_ce: 0.0089  lr: 0.007193  elapsed: 1.96h
[00:30:14.345] epoch 93/300  loss: 0.0223  loss_ce: 0.0089  lr: 0.007161  elapsed: 1.98h
[00:31:30.877] epoch 94/300  loss: 0.0222  loss_ce: 0.0088  lr: 0.007130  elapsed: 2.00h
[00:32:47.442] epoch 95/300  loss: 0.0220  loss_ce: 0.0088  lr: 0.007099  elapsed: 2.02h
[00:34:04.034] epoch 96/300  loss: 0.0219  loss_ce: 0.0087  lr: 0.007068  elapsed: 2.04h
[00:35:20.617] epoch 97/300  loss: 0.0218  loss_ce: 0.0087  lr: 0.007037  elapsed: 2.06h
[00:36:37.188] epoch 98/300  loss: 0.0218  loss_ce: 0.0087  lr: 0.007006  elapsed: 2.08h
[00:37:53.839] epoch 99/300  loss: 0.0217  loss_ce: 0.0086  lr: 0.006974  elapsed: 2.10h
[00:39:10.534] epoch 100/300  loss: 0.0218  loss_ce: 0.0087  lr: 0.006943  elapsed: 2.13h
[00:40:27.148] epoch 101/300  loss: 0.0218  loss_ce: 0.0086  lr: 0.006912  elapsed: 2.15h
[00:41:43.897] epoch 102/300  loss: 0.0220  loss_ce: 0.0087  lr: 0.006881  elapsed: 2.17h
[00:43:00.651] epoch 103/300  loss: 0.0217  loss_ce: 0.0086  lr: 0.006849  elapsed: 2.19h
[00:44:17.316] epoch 104/300  loss: 0.0214  loss_ce: 0.0085  lr: 0.006818  elapsed: 2.21h
[00:45:34.020] epoch 105/300  loss: 0.0216  loss_ce: 0.0086  lr: 0.006787  elapsed: 2.23h
[00:46:50.694] epoch 106/300  loss: 0.0213  loss_ce: 0.0085  lr: 0.006755  elapsed: 2.25h
[00:48:07.350] epoch 107/300  loss: 0.0215  loss_ce: 0.0085  lr: 0.006724  elapsed: 2.27h
[00:49:24.006] epoch 108/300  loss: 0.0212  loss_ce: 0.0084  lr: 0.006693  elapsed: 2.30h
[00:50:40.619] epoch 109/300  loss: 0.0212  loss_ce: 0.0084  lr: 0.006661  elapsed: 2.32h
[00:51:56.878] epoch 110/300  loss: 0.0213  loss_ce: 0.0084  lr: 0.006630  elapsed: 2.34h
[00:53:13.260] epoch 111/300  loss: 0.0213  loss_ce: 0.0084  lr: 0.006598  elapsed: 2.36h
[00:54:30.038] epoch 112/300  loss: 0.0212  loss_ce: 0.0084  lr: 0.006567  elapsed: 2.38h
[00:55:46.846] epoch 113/300  loss: 0.0211  loss_ce: 0.0084  lr: 0.006536  elapsed: 2.40h
[00:57:03.618] epoch 114/300  loss: 0.0211  loss_ce: 0.0084  lr: 0.006504  elapsed: 2.42h
[00:58:20.350] epoch 115/300  loss: 0.0210  loss_ce: 0.0083  lr: 0.006473  elapsed: 2.45h
[00:59:37.018] epoch 116/300  loss: 0.0209  loss_ce: 0.0083  lr: 0.006441  elapsed: 2.47h
[01:00:53.687] epoch 117/300  loss: 0.0210  loss_ce: 0.0083  lr: 0.006410  elapsed: 2.49h
